"","logID","pasteID2","fightID","size","difficulty","tag_hmsize","first_mark_cast","2500/5000 dmg. (HM/NM)","Weighted(Beast=5)","Weighted(Beast=3)"
"1","127wByCcNAYMHqz9","127wByCcNAYMHqz91",1,10,"Hard","Heroic-10m",136.026,101.718,108,108
"2","127wByCcNAYMHqz9","127wByCcNAYMHqz92",2,10,"Hard","Heroic-10m",139.289,96.9784,102,102
"3","127wByCcNAYMHqz9","127wByCcNAYMHqz93",3,10,"Hard","Heroic-10m",106.838,107.6368,110,110
"4","127wByCcNAYMHqz9","127wByCcNAYMHqz94",4,10,"Hard","Heroic-10m",76.124,113.0164,125,125
"5","127wByCcNAYMHqz9","127wByCcNAYMHqz95",5,10,"Hard","Heroic-10m",118.235,100.4248,109,109
"6","127wByCcNAYMHqz9","127wByCcNAYMHqz96",6,10,"Hard","Heroic-10m",111.871,101.9592,105,105
"7","16FcXvNRG249M7kB","16FcXvNRG249M7kB12",12,10,"Hard","Heroic-10m",90.637,101.244,84,86
"8","16FcXvNRG249M7kB","16FcXvNRG249M7kB13",13,10,"Hard","Heroic-10m",106.864,106.7492,123,127
"9","16FcXvNRG249M7kB","16FcXvNRG249M7kB14",14,10,"Hard","Heroic-10m",103.568,104.7812,98,99
"10","16FcXvNRG249M7kB","16FcXvNRG249M7kB15",15,10,"Hard","Heroic-10m",110.057,101.2968,112,115
"11","16KT9cZYFpC8JrGz","16KT9cZYFpC8JrGz27",27,25,"Hard","Heroic-25m",51.89,104.4964,142,150
"12","16KT9cZYFpC8JrGz","16KT9cZYFpC8JrGz28",28,25,"Hard","Heroic-25m",58.414,122.97,138,141
"13","16KT9cZYFpC8JrGz","16KT9cZYFpC8JrGz29",29,25,"Hard","Heroic-25m",52.397,115.3948,150,161
"14","16KT9cZYFpC8JrGz","16KT9cZYFpC8JrGz30",30,25,"Hard","Heroic-25m",51.693,108.9172,136,144
"15","16KT9cZYFpC8JrGz","16KT9cZYFpC8JrGz31",31,25,"Hard","Heroic-25m",55.061,109.8896,116,117
"16","16KT9cZYFpC8JrGz","16KT9cZYFpC8JrGz32",32,25,"Hard","Heroic-25m",58.38,119.43,114,115
"17","16KT9cZYFpC8JrGz","16KT9cZYFpC8JrGz33",33,25,"Normal","Normal-25m",103.756,102.0162,344,364
"18","17pGCfrzmPFXvx82","17pGCfrzmPFXvx827",7,25,"Normal","Normal-25m",90.818,112.7158,408,449
"19","1BZVP4jQrM6RLHkN","1BZVP4jQrM6RLHkN18",18,25,"Hard","Heroic-25m",51.785,137.0288,151,164
"20","1BZVP4jQrM6RLHkN","1BZVP4jQrM6RLHkN20",20,25,"Hard","Heroic-25m",58.301,123.8752,119,120
"21","1BZVP4jQrM6RLHkN","1BZVP4jQrM6RLHkN22",22,25,"Normal","Normal-25m",100.312,106.1446,355,380
"22","1Bd79zgG4KMDFxjh","1Bd79zgG4KMDFxjh30",30,10,"Normal","Normal-10m",178.039,110.103,329,357
"23","1DxBaC9MWQj3zApk","1DxBaC9MWQj3zApk14",14,25,"Hard","Heroic-25m",51.985,115.404,142,149
"24","1DxBaC9MWQj3zApk","1DxBaC9MWQj3zApk16",16,25,"Hard","Heroic-25m",48.672,107.1996,131,136
"25","1DxBaC9MWQj3zApk","1DxBaC9MWQj3zApk17",17,25,"Hard","Heroic-25m",55.544,107.9784,126,128
"26","1DxBaC9MWQj3zApk","1DxBaC9MWQj3zApk18",18,25,"Normal","Normal-25m",106.996,103.3314,308,314
"27","1F6pqhBnPLCyJVt4","1F6pqhBnPLCyJVt414",14,25,"Hard","Heroic-25m",58.372,111.9344,133,147
"28","1F6pqhBnPLCyJVt4","1F6pqhBnPLCyJVt415",15,25,"Hard","Heroic-25m",58.803,107.7564,127,138
"29","1F6pqhBnPLCyJVt4","1F6pqhBnPLCyJVt416",16,25,"Hard","Heroic-25m",52.29,117.1128,151,166
"30","1F6pqhBnPLCyJVt4","1F6pqhBnPLCyJVt417",17,25,"Hard","Heroic-25m",58.341,114.4764,99,101
"31","1F6pqhBnPLCyJVt4","1F6pqhBnPLCyJVt418",18,25,"Normal","Normal-25m",124.783,100.4436,318,324
"32","1LbXP9hqm8AgWpka","1LbXP9hqm8AgWpka25",25,25,"Hard","Heroic-25m",55.111,116.0192,131,144
"33","1LbXP9hqm8AgWpka","1LbXP9hqm8AgWpka26",26,25,"Hard","Heroic-25m",52.571,157.4304,149,162
